rc_number,location,fir_date,pdf_url
RC0262026A0016,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvODM4OTkyMTNSQzAyNjIwMjZBMDAxNiBwb3J0YWwucGRm
RC0232026A0014,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTY1OTQ3OTE3NFJDIDE0XzI2IEZJUiAoMikucGRm
RC0102026A0004,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTc2NDczMTU4N0ZJUiBvZiBSQzAxMDIwMjZBMDAwNC5wZGY=
RC0052026A0017,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvNjgxNTE4MDA5UkMwMDUyMDI2QTAwMTcucGRm
RC0032026A0042,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMzU0MzcwOTQyUkMwMDMyMDI2QTAwNDIucGRm
RC0732026E0013,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvOTY0NDcwNTA0RklSIFJDMDczMjAyNkUwMDEzLW91dHB1dC5wZGY=
RC0302026A0010,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvNTE3MTQ1MDVSQzAzMDIwMjZBMDAxMC4ucGRm
RC0302026A0009,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTExMjI2MjA0UkMwMzAyMDI2QTAwMDkucGRm
RC0302026A0008,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTc5NjI1NjI1NlJDMDMwMjAyNkEwMDA4LnBkZg==
RC0072026A0006,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTA4MTQzNzk5NFJDMDA3MjAyNkEwMDA2X0Zpcl9WZXIyLnBkZg==
RC0072026A0005,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvOTczNjEyNDU3UkMwMDcyMDI2QTAwMDVfRmlyX1ZlcjIucGRm
RC0072026A0004,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMjAwMDYzNTIzOVJDMDA3MjAyNkEwMDA0X0Zpcl9WZXIyLnBkZg==
RC0092026A0005,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTI0NzA3NzQ1MkZJUiBvZiBSQzAwOTIwMjZBMDAwNS5wZGY=
RC0322026A0012,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTY0Njk5NjY3MUZJUi0gUkMgMTIgMjAyNjAwMS5wZGY=
RC0032026A0041,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTYyMzAyNzcyNVJDMDAzMjAyNkEwMDQxLnBkZg==
RC2182026A0012,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTE0OTIyMzgzNFJDMjE4MjAyNkEwMDEyIEZpciBjb3B5LnBkZg==
RC2152026E0007,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTQxMDIxMzg2MVJDMjE1MjAyNkUwMDA3LnBkZg==
RC0682026E0007,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvNDcwMDYwNzM5UkMwNjgyMDI2RTAwMDcucGRm
RC0302026A0007,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTAyNzY2ODE2MlJDIDAzMCAyMDI2LUEtMDAwNy5wZGY=
RC0042026A0008,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTM3MDEzNDQzMFJDMDA0MjAyNkEwMDA4LnBkZg==
RC0562026S0002,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTE5MTE5NDEzOUZJUiAyUzIwMjYucGRm
RC0322026A0011,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvNzczMjk5NDEzRklSIFJDIDExIDIwMjYwMDEucGRm
RC0102026A0003,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMjgwMTYzNjg2RklSICgxKS5wZGY=
RC0082026A0012,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTU0NTEyNDYxOVJDMTJBIDIwMjYucGRm
RC0032026A0040,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTYxOTI4MTIwN1JDMDAzMjAyNkEwMDQwLnBkZg==
RC0032026A0039,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMjYyMzEwMzQ5UkMwMDMyMDI2QTAwMzkucGRm
RC0062026A0021,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTAxMTQ0MDA2MVJDMDA2MjAyNkEwMDIxLnBkZg==
RC0522026S0007,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTczMzA2MTYwN1JDLTA3KFMpLTIwMjYucGRm
RC0522026S0006,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTkwMjIyOTE1OVJDIDA2KFMpLTIwMjYucGRm
RC0732026E0012,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvNjkyODYxNzM4UkMwNzMyMDI2RTAwMTItb3V0cHV0LnBkZg==
RC0232026A0013,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTI5NTgwMjE2NUZJUjEzQTIwMjYtb2NyLnBkZg==
RC0042026A0007,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTQ5MzI5MzEzNlJDMDA0MjAyNkEwMDA3LnBkZg==
RC0772026E0005,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvODA1OTY1OTcwUkMwNzcyMDI2RTAwMDUucGRm
RC0682026E0006,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMjE0Mzg4MjY4MlJDMDY4MjAyNkUwMDA2LnBkZg==
RC0372026A0009,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvNzkwNjY1ODczUkMwMzcyMDI2QTAwMDkucGRm
RC0232026A0012,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTczMTQ5ODE0NkZJUjEyQTIwMjYtb2NyLnBkZg==
RC0082026A0011,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTc0MDQ1MjAxNlJDMTFBMjAyNi5wZGY=
RC0052026A0016,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTc0NjI1MjUxOVJDMDA1MjAyNkEwMDE2LnBkZg==
RC1202026A0011,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvOTQ0NDAwODA5RklSIFJDMTFBMjAyNi5wZGY=
RC1202026A0010,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTk3MTA3NzMzM0ZJUiBSQzEwQTIwMjYucGRm
RC1202026A0009,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMjAxNDExMDI4MEZJUiBSQzEyMDIwMjZBMDAwOS5wZGY=
RC1202026A0008,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTQzNDM1MDk5MUZJUiBSQzEyMDIwMjZBMDAwOC5wZGY=
RC0682026E0005,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTUzMjEzNTI5NFJDMDY4MjAyNkUwMDA1LnBkZg==
RC0582026S0008,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTAzNTMyNDc5NUZJUiBSQzhTMjAyNiA0IFBhZ2UucGRm
